rebal_date,n_constituents,turnover_rate,stocks_added,stocks_dropped,added,dropped,constituents
2020-03-31,50,0.0,50,0,ADANIENT.NS|ADANIPORTS.NS|APOLLOHOSP.NS|ASIANPAINT.NS|AXISBANK.NS|BAJAJ-AUTO.NS|BAJAJFINSV.NS|BAJFINANCE.NS|BHARTIARTL.NS|BOSCHLTD.NS|BPCL.NS|BRITANNIA.NS|CIPLA.NS|COALINDIA.NS|DIVISLAB.NS|DMART.NS|DRREDDY.NS|EICHERMOT.NS|GODREJCP.NS|GRASIM.NS|HAVELLS.NS|HCLTECH.NS|HDFCBANK.NS|HDFCLIFE.NS|HEROMOTOCO.NS|HINDUNILVR.NS|ICICIBANK.NS|INFY.NS|ITC.NS|JSWSTEEL.NS|KOTAKBANK.NS|LT.NS|MARUTI.NS|NESTLEIND.NS|NTPC.NS|ONGC.NS|PIDILITIND.NS|POWERGRID.NS|RELIANCE.NS|SBILIFE.NS|SBIN.NS|SHREECEM.NS|SUNPHARMA.NS|TATACONSUM.NS|TATASTEEL.NS|TCS.NS|TECHM.NS|TITAN.NS|ULTRACEMCO.NS|WIPRO.NS,,ADANIENT.NS|ADANIPORTS.NS|APOLLOHOSP.NS|ASIANPAINT.NS|AXISBANK.NS|BAJAJ-AUTO.NS|BAJAJFINSV.NS|BAJFINANCE.NS|BHARTIARTL.NS|BOSCHLTD.NS|BPCL.NS|BRITANNIA.NS|CIPLA.NS|COALINDIA.NS|DIVISLAB.NS|DMART.NS|DRREDDY.NS|EICHERMOT.NS|GODREJCP.NS|GRASIM.NS|HAVELLS.NS|HCLTECH.NS|HDFCBANK.NS|HDFCLIFE.NS|HEROMOTOCO.NS|HINDUNILVR.NS|ICICIBANK.NS|INFY.NS|ITC.NS|JSWSTEEL.NS|KOTAKBANK.NS|LT.NS|MARUTI.NS|NESTLEIND.NS|NTPC.NS|ONGC.NS|PIDILITIND.NS|POWERGRID.NS|RELIANCE.NS|SBILIFE.NS|SBIN.NS|SHREECEM.NS|SUNPHARMA.NS|TATACONSUM.NS|TATASTEEL.NS|TCS.NS|TECHM.NS|TITAN.NS|ULTRACEMCO.NS|WIPRO.NS
2020-06-30,50,0.06,3,3,HINDALCO.NS|M&M.NS|VEDL.NS,AXISBANK.NS|ONGC.NS|SBIN.NS,ADANIENT.NS|ADANIPORTS.NS|APOLLOHOSP.NS|ASIANPAINT.NS|BAJAJ-AUTO.NS|BAJAJFINSV.NS|BAJFINANCE.NS|BHARTIARTL.NS|BOSCHLTD.NS|BPCL.NS|BRITANNIA.NS|CIPLA.NS|COALINDIA.NS|DIVISLAB.NS|DMART.NS|DRREDDY.NS|EICHERMOT.NS|GODREJCP.NS|GRASIM.NS|HAVELLS.NS|HCLTECH.NS|HDFCBANK.NS|HDFCLIFE.NS|HEROMOTOCO.NS|HINDALCO.NS|HINDUNILVR.NS|ICICIBANK.NS|INFY.NS|ITC.NS|JSWSTEEL.NS|KOTAKBANK.NS|LT.NS|M&M.NS|MARUTI.NS|NESTLEIND.NS|NTPC.NS|PIDILITIND.NS|POWERGRID.NS|RELIANCE.NS|SBILIFE.NS|SHREECEM.NS|SUNPHARMA.NS|TATACONSUM.NS|TATASTEEL.NS|TCS.NS|TECHM.NS|TITAN.NS|ULTRACEMCO.NS|VEDL.NS|WIPRO.NS
2020-09-30,50,0.02,1,1,SBIN.NS,LT.NS,ADANIENT.NS|ADANIPORTS.NS|APOLLOHOSP.NS|ASIANPAINT.NS|BAJAJ-AUTO.NS|BAJAJFINSV.NS|BAJFINANCE.NS|BHARTIARTL.NS|BOSCHLTD.NS|BPCL.NS|BRITANNIA.NS|CIPLA.NS|COALINDIA.NS|DIVISLAB.NS|DMART.NS|DRREDDY.NS|EICHERMOT.NS|GODREJCP.NS|GRASIM.NS|HAVELLS.NS|HCLTECH.NS|HDFCBANK.NS|HDFCLIFE.NS|HEROMOTOCO.NS|HINDALCO.NS|HINDUNILVR.NS|ICICIBANK.NS|INFY.NS|ITC.NS|JSWSTEEL.NS|KOTAKBANK.NS|M&M.NS|MARUTI.NS|NESTLEIND.NS|NTPC.NS|PIDILITIND.NS|POWERGRID.NS|RELIANCE.NS|SBILIFE.NS|SBIN.NS|SHREECEM.NS|SUNPHARMA.NS|TATACONSUM.NS|TATASTEEL.NS|TCS.NS|TECHM.NS|TITAN.NS|ULTRACEMCO.NS|VEDL.NS|WIPRO.NS
2020-12-31,50,0.04,2,2,AXISBANK.NS|LT.NS,BPCL.NS|COALINDIA.NS,ADANIENT.NS|ADANIPORTS.NS|APOLLOHOSP.NS|ASIANPAINT.NS|AXISBANK.NS|BAJAJ-AUTO.NS|BAJAJFINSV.NS|BAJFINANCE.NS|BHARTIARTL.NS|BOSCHLTD.NS|BRITANNIA.NS|CIPLA.NS|DIVISLAB.NS|DMART.NS|DRREDDY.NS|EICHERMOT.NS|GODREJCP.NS|GRASIM.NS|HAVELLS.NS|HCLTECH.NS|HDFCBANK.NS|HDFCLIFE.NS|HEROMOTOCO.NS|HINDALCO.NS|HINDUNILVR.NS|ICICIBANK.NS|INFY.NS|ITC.NS|JSWSTEEL.NS|KOTAKBANK.NS|LT.NS|M&M.NS|MARUTI.NS|NESTLEIND.NS|NTPC.NS|PIDILITIND.NS|POWERGRID.NS|RELIANCE.NS|SBILIFE.NS|SBIN.NS|SHREECEM.NS|SUNPHARMA.NS|TATACONSUM.NS|TATASTEEL.NS|TCS.NS|TECHM.NS|TITAN.NS|ULTRACEMCO.NS|VEDL.NS|WIPRO.NS
2021-03-31,50,0.06,3,3,BPCL.NS|INDUSINDBK.NS|ONGC.NS,BHARTIARTL.NS|HINDUNILVR.NS|NESTLEIND.NS,ADANIENT.NS|ADANIPORTS.NS|APOLLOHOSP.NS|ASIANPAINT.NS|AXISBANK.NS|BAJAJ-AUTO.NS|BAJAJFINSV.NS|BAJFINANCE.NS|BOSCHLTD.NS|BPCL.NS|BRITANNIA.NS|CIPLA.NS|DIVISLAB.NS|DMART.NS|DRREDDY.NS|EICHERMOT.NS|GODREJCP.NS|GRASIM.NS|HAVELLS.NS|HCLTECH.NS|HDFCBANK.NS|HDFCLIFE.NS|HEROMOTOCO.NS|HINDALCO.NS|ICICIBANK.NS|INDUSINDBK.NS|INFY.NS|ITC.NS|JSWSTEEL.NS|KOTAKBANK.NS|LT.NS|M&M.NS|MARUTI.NS|NTPC.NS|ONGC.NS|PIDILITIND.NS|POWERGRID.NS|RELIANCE.NS|SBILIFE.NS|SBIN.NS|SHREECEM.NS|SUNPHARMA.NS|TATACONSUM.NS|TATASTEEL.NS|TCS.NS|TECHM.NS|TITAN.NS|ULTRACEMCO.NS|VEDL.NS|WIPRO.NS
2021-06-30,50,0.02,1,1,COALINDIA.NS,BRITANNIA.NS,ADANIENT.NS|ADANIPORTS.NS|APOLLOHOSP.NS|ASIANPAINT.NS|AXISBANK.NS|BAJAJ-AUTO.NS|BAJAJFINSV.NS|BAJFINANCE.NS|BOSCHLTD.NS|BPCL.NS|CIPLA.NS|COALINDIA.NS|DIVISLAB.NS|DMART.NS|DRREDDY.NS|EICHERMOT.NS|GODREJCP.NS|GRASIM.NS|HAVELLS.NS|HCLTECH.NS|HDFCBANK.NS|HDFCLIFE.NS|HEROMOTOCO.NS|HINDALCO.NS|ICICIBANK.NS|INDUSINDBK.NS|INFY.NS|ITC.NS|JSWSTEEL.NS|KOTAKBANK.NS|LT.NS|M&M.NS|MARUTI.NS|NTPC.NS|ONGC.NS|PIDILITIND.NS|POWERGRID.NS|RELIANCE.NS|SBILIFE.NS|SBIN.NS|SHREECEM.NS|SUNPHARMA.NS|TATACONSUM.NS|TATASTEEL.NS|TCS.NS|TECHM.NS|TITAN.NS|ULTRACEMCO.NS|VEDL.NS|WIPRO.NS
2021-09-30,50,0.06,3,3,BHARTIARTL.NS|HINDUNILVR.NS|NESTLEIND.NS,DRREDDY.NS|HEROMOTOCO.NS|MARUTI.NS,ADANIENT.NS|ADANIPORTS.NS|APOLLOHOSP.NS|ASIANPAINT.NS|AXISBANK.NS|BAJAJ-AUTO.NS|BAJAJFINSV.NS|BAJFINANCE.NS|BHARTIARTL.NS|BOSCHLTD.NS|BPCL.NS|CIPLA.NS|COALINDIA.NS|DIVISLAB.NS|DMART.NS|EICHERMOT.NS|GODREJCP.NS|GRASIM.NS|HAVELLS.NS|HCLTECH.NS|HDFCBANK.NS|HDFCLIFE.NS|HINDALCO.NS|HINDUNILVR.NS|ICICIBANK.NS|INDUSINDBK.NS|INFY.NS|ITC.NS|JSWSTEEL.NS|KOTAKBANK.NS|LT.NS|M&M.NS|NESTLEIND.NS|NTPC.NS|ONGC.NS|PIDILITIND.NS|POWERGRID.NS|RELIANCE.NS|SBILIFE.NS|SBIN.NS|SHREECEM.NS|SUNPHARMA.NS|TATACONSUM.NS|TATASTEEL.NS|TCS.NS|TECHM.NS|TITAN.NS|ULTRACEMCO.NS|VEDL.NS|WIPRO.NS
2021-12-31,50,0.04,2,2,BRITANNIA.NS|MARUTI.NS,HDFCLIFE.NS|KOTAKBANK.NS,ADANIENT.NS|ADANIPORTS.NS|APOLLOHOSP.NS|ASIANPAINT.NS|AXISBANK.NS|BAJAJ-AUTO.NS|BAJAJFINSV.NS|BAJFINANCE.NS|BHARTIARTL.NS|BOSCHLTD.NS|BPCL.NS|BRITANNIA.NS|CIPLA.NS|COALINDIA.NS|DIVISLAB.NS|DMART.NS|EICHERMOT.NS|GODREJCP.NS|GRASIM.NS|HAVELLS.NS|HCLTECH.NS|HDFCBANK.NS|HINDALCO.NS|HINDUNILVR.NS|ICICIBANK.NS|INDUSINDBK.NS|INFY.NS|ITC.NS|JSWSTEEL.NS|LT.NS|M&M.NS|MARUTI.NS|NESTLEIND.NS|NTPC.NS|ONGC.NS|PIDILITIND.NS|POWERGRID.NS|RELIANCE.NS|SBILIFE.NS|SBIN.NS|SHREECEM.NS|SUNPHARMA.NS|TATACONSUM.NS|TATASTEEL.NS|TCS.NS|TECHM.NS|TITAN.NS|ULTRACEMCO.NS|VEDL.NS|WIPRO.NS
2022-03-31,50,0.04,2,2,DRREDDY.NS|KOTAKBANK.NS,HINDUNILVR.NS|SHREECEM.NS,ADANIENT.NS|ADANIPORTS.NS|APOLLOHOSP.NS|ASIANPAINT.NS|AXISBANK.NS|BAJAJ-AUTO.NS|BAJAJFINSV.NS|BAJFINANCE.NS|BHARTIARTL.NS|BOSCHLTD.NS|BPCL.NS|BRITANNIA.NS|CIPLA.NS|COALINDIA.NS|DIVISLAB.NS|DMART.NS|DRREDDY.NS|EICHERMOT.NS|GODREJCP.NS|GRASIM.NS|HAVELLS.NS|HCLTECH.NS|HDFCBANK.NS|HINDALCO.NS|ICICIBANK.NS|INDUSINDBK.NS|INFY.NS|ITC.NS|JSWSTEEL.NS|KOTAKBANK.NS|LT.NS|M&M.NS|MARUTI.NS|NESTLEIND.NS|NTPC.NS|ONGC.NS|PIDILITIND.NS|POWERGRID.NS|RELIANCE.NS|SBILIFE.NS|SBIN.NS|SUNPHARMA.NS|TATACONSUM.NS|TATASTEEL.NS|TCS.NS|TECHM.NS|TITAN.NS|ULTRACEMCO.NS|VEDL.NS|WIPRO.NS
2022-06-30,50,0.06,3,3,HDFCLIFE.NS|HEROMOTOCO.NS|HINDUNILVR.NS,BPCL.NS|TATASTEEL.NS|WIPRO.NS,ADANIENT.NS|ADANIPORTS.NS|APOLLOHOSP.NS|ASIANPAINT.NS|AXISBANK.NS|BAJAJ-AUTO.NS|BAJAJFINSV.NS|BAJFINANCE.NS|BHARTIARTL.NS|BOSCHLTD.NS|BRITANNIA.NS|CIPLA.NS|COALINDIA.NS|DIVISLAB.NS|DMART.NS|DRREDDY.NS|EICHERMOT.NS|GODREJCP.NS|GRASIM.NS|HAVELLS.NS|HCLTECH.NS|HDFCBANK.NS|HDFCLIFE.NS|HEROMOTOCO.NS|HINDALCO.NS|HINDUNILVR.NS|ICICIBANK.NS|INDUSINDBK.NS|INFY.NS|ITC.NS|JSWSTEEL.NS|KOTAKBANK.NS|LT.NS|M&M.NS|MARUTI.NS|NESTLEIND.NS|NTPC.NS|ONGC.NS|PIDILITIND.NS|POWERGRID.NS|RELIANCE.NS|SBILIFE.NS|SBIN.NS|SUNPHARMA.NS|TATACONSUM.NS|TCS.NS|TECHM.NS|TITAN.NS|ULTRACEMCO.NS|VEDL.NS
2022-09-30,50,0.02,1,1,TATASTEEL.NS,HDFCLIFE.NS,ADANIENT.NS|ADANIPORTS.NS|APOLLOHOSP.NS|ASIANPAINT.NS|AXISBANK.NS|BAJAJ-AUTO.NS|BAJAJFINSV.NS|BAJFINANCE.NS|BHARTIARTL.NS|BOSCHLTD.NS|BRITANNIA.NS|CIPLA.NS|COALINDIA.NS|DIVISLAB.NS|DMART.NS|DRREDDY.NS|EICHERMOT.NS|GODREJCP.NS|GRASIM.NS|HAVELLS.NS|HCLTECH.NS|HDFCBANK.NS|HEROMOTOCO.NS|HINDALCO.NS|HINDUNILVR.NS|ICICIBANK.NS|INDUSINDBK.NS|INFY.NS|ITC.NS|JSWSTEEL.NS|KOTAKBANK.NS|LT.NS|M&M.NS|MARUTI.NS|NESTLEIND.NS|NTPC.NS|ONGC.NS|PIDILITIND.NS|POWERGRID.NS|RELIANCE.NS|SBILIFE.NS|SBIN.NS|SUNPHARMA.NS|TATACONSUM.NS|TATASTEEL.NS|TCS.NS|TECHM.NS|TITAN.NS|ULTRACEMCO.NS|VEDL.NS
